site_cata,set,location,better_location,better_location_backup,site,ordered,Longitude (dd.ddddd),Latitude (dd.ddddd),LOI,Corg,Cinorg,d13Corg,d13Cinorg,d13seagrass,gravel,coarse sand,medium sand,fine sand,silt,clay,mud,total,org_wt,Ccontentorg,160off,160remains,160Wt Cpost,160Wt Clost,300off,300remains,300Wt Cpost,300Wt Clost,400off,400remains,400Wt Cpost,400Wt Clost,500off,500remains,500Wt Cpost,500Wt Clost,550off,550remains,550Wt Cpost,550Wt Clost,600off,600remains,600Wt Cpost,600Wt Clost
q506,fknms,bay,FL keys,keys,506,A1-506,-81.38328333,24.65933333,0.059972306,2.14499631,10.14267287,-13.44297787,2.117865601,-11.52967652,0.04292666,1.406171398,3.614073736,15.03728735,60.10772668,19.79181418,79.89954086,0.902277506,4.2419,0.122876692,0.0208,4.2211,0.515423484,0.005807155,0.075122461,4.145977539,0.483116128,0.032307356,0.042604263,4.103373276,0.469445256,0.013670872,0.087333708,4.016039568,0.44334254,0.026102717,0.031219308,3.98482026,0.43505497,0.008287569,0.028545722,3.956274538,0.423375737,0.011679233
q508,fknms,fknms,FL keys,keys,508,A2-508,-81.7494,24.55221667,0.051140254,1.790132748,10.44183422,-15.61029621,1.595612683,-9.271193246,3.436650219,5.642166502,12.20955789,39.733105,19.66833,19.3101904,38.9785204,0.866469794,3.5783,0.12231967,0.0186,3.5597,0.434818175,0.002878299,0.061861468,3.497838532,0.406837788,0.027980388,0.039125936,3.458712596,0.393399894,0.013437894,0.083539396,3.3751732,0.375680632,0.017719261,0.013251327,3.361921873,0.370306889,0.005373744,0.035163807,3.326758066,0.365614352,0.004692536
q307,fknms,fknms,FL keys,keys,307,A3-307,-81.52058333,24.7251,0.065477098,2.473672889,9.781552293,-14.93612381,1.550536313,-7.981051213,1.681443807,7.698715739,16.22059718,24.0053926,16.40376007,33.9900906,50.39385067,1.0759825,3.27,0.122552252,0.0203,3.2497,0.398543547,0.002202317,0.068038074,3.181661926,0.365765988,0.032777559,0.035068823,3.146593103,0.35212134,0.013644648,0.093214376,3.053378727,0.330517904,0.021603436,0.018306719,3.035072008,0.322739045,0.007778859,0.042553461,2.992518547,0.318327129,0.004411917
q309,fknms,fknms,FL keys,keys,309,A4-309,-81.68278333,24.69845,0.036669868,0.992051152,10.98213861,-17.45411201,2.708795109,,0,3.448564715,33.10677,53.92383195,4.281205844,5.239627487,9.52083333,0.253871687,3.3287,0.119741898,0.0042,3.3245,0.400498867,-0.001914012,0.024792403,3.299707597,0.390147305,0.010351561,0.01698535,3.282722247,0.384271595,0.00587571,0.038638205,3.244084042,0.376480053,0.007791542,0.02352787,3.220556172,0.363711728,0.012768325,0.046487992,3.17406818,0.35673771,0.006974018
q271,fknms,fknms,FL keys,keys,271,A5-271,-81.74648333,24.54228333,0.036716903,1.306041856,10.71756254,-17.27250763,2.08443264,-9.94378722,6.529587268,4.548865724,17.08247075,38.74424736,5.858514902,27.236314,33.0948289,0.607162483,2.5797,0.120236044,0.01,2.5697,0.303568898,0.006604025,0.030861816,2.538838184,0.294545068,0.009023829,0.015086819,2.523751366,0.289603752,0.004941316,0.059098768,2.464652597,0.278216428,0.011387324,0.013302138,2.451350459,0.271680628,0.0065358,0.046962693,2.404387767,0.266364692,0.005315935
q507,fknms,fknms,FL keys,keys,507,A6-507,-81.35463333,24.69301667,0.112403101,5.341336298,8.757820081,-14.02773376,-1.087126098,-11.46894563,0.154986552,3.561031312,11.06207296,20.95601439,26.82350807,37.44238673,64.26589479,2.902430269,2.2506,0.140991564,0.0246,2.226,0.301956933,0.01535868,0.106835825,2.119164175,0.252539639,0.049417294,0.042348672,2.076815503,0.231523942,0.021015697,0.085648198,1.991167305,0.207711436,0.023812505,0.015590226,1.975577079,0.197776503,0.009934933,0.045696567,1.929880513,0.190068318,0.007708186
sprigger,fknms,bay,Western FL Bay,west,sprigger,A7-sprigger,-80.93798,24.91294,0.072248118,2.857076698,9.205408043,-14.53633305,-0.484756968,-8.965788049,4.133333333,6.418481935,39.85224497,41.78542228,2.6580678,5.152449682,7.810517482,1.403812874,2.4879,0.120624847,0.0197,2.4682,0.291424262,0.008678296,0.059223079,2.408976921,0.265384931,0.026039331,0.030355052,2.378621869,0.255747628,0.009637303,0.096158132,2.282463737,0.233566817,0.022180811,0.019843131,2.262620606,0.227150234,0.006416583,0.044852595,2.217768011,0.217941261,0.009208973
LM,fknms,bay,Eastern FL Bay,east,LM,A8-LM,-80.633,25.17992,0.10732778,3.816859986,8.520792221,-15.95668312,-2.48,-11.68,6.2,14.2,23.9,30.1,17.1,8.5,25.6,1.510912768,2.1167,0.123376522,0.011,2.1057,0.251609839,0.009541245,0.047712692,2.057987308,0.22928621,0.022323629,0.0323424,2.025644909,0.217707412,0.011578798,0.051168608,1.974476301,0.198182229,0.019525183,0.053412344,1.921063957,0.183429697,0.014752532,0.050289632,1.870774325,0.173488049,0.009941648
q509,fknms,fknms,FL keys,keys,509,A9-509,-81.65451667,24.603,0.124921509,4.964544414,7.583459737,-15.12913605,-1.268813453,,0.969277414,3.89241986,10.25292146,22.94020013,32.72195682,29.22322432,61.94518114,1.838526787,2.2242,0.125480042,0.0323,2.1919,0.286891953,-0.007799245,0.11097972,2.08092028,0.238907301,0.047984652,0.052658453,2.028261828,0.216370856,0.022536445,0.103894223,1.924367605,0.180576651,0.035794205,0.018633039,1.905734566,0.176067824,0.004508828,0.033662316,1.87207225,0.168086495,0.007981328
trout,fknms,bay,Eastern FL Bay,east,trout,A10-trout,-80.531833,25.213017,0.080985022,3.154453511,8.963886028,-14.15683456,-2.666345558,-12.76632813,4.133333333,12.72790721,24.83352263,33.13605525,17.8135257,7.355655875,25.16918158,12.19152241,2.3738,0.121183395,0.0146,2.3592,0.280714912,0.006950232,0.061148825,2.298051175,0.255793918,0.024920994,0.030826653,2.267224522,0.238984902,0.016809017,0.045879242,2.22134528,0.220309111,0.018675791,0.042862477,2.178482803,0.208723332,0.011585778,0.042512532,2.135970271,0.198559053,0.010164279
