,160LOI,160Corg,300LOI,300Corg,400LOI,400Corg,500LOI,500Corg,550LOI,550Corg,600LOI,600Corg
506,0.4903463,0.136899854,1.7796892,0.765377651,1.0276048,0.3297382,2.1283394,0.63612825,0.7773655,0.206361745,0.7163616,0.293093105
508,0.5197999,0.08043761,1.7378281,0.786032184,1.1185747,0.384177071,2.4153321,0.512308005,0.3926118,0.159213861,1.0459436,0.139578985
307,0.6207951,0.067349129,2.0936725,1.008633372,1.1022171,0.428852867,2.9623905,0.686565918,0.5995561,0.254762336,1.4020577,0.145364478
309,0.1261754,-0.05750029,0.7457483,0.311371978,0.5147532,0.178067605,1.1770172,0.237350024,0.7252546,0.393587977,1.4434771,0.216547007
271,0.387642,0.255999722,1.200989,0.351162761,0.594241,0.194629028,2.3417033,0.451206255,0.5397165,0.265181406,1.9157886,0.216857418
507,1.0930419,0.682426036,4.7994531,2.220004233,1.9983667,0.991697442,4.1240157,1.146587429,0.7829691,,2.3130744,0.390173878
sprigger,0.7918325,0.348820132,2.3994441,1.054992743,1.2600806,0.400057924,4.0425985,0.932506808,0.8693733,0.281125303,1.9823295,0.407004752
LM,0.5196769,0.450760371,2.2658827,1.060152397,1.5715549,0.562627297,2.5260404,0.963899601,2.7051398,0.747161765,2.617801,0.517507368
509,1.4522075,-0.350653946,5.0631744,2.189180733,2.5305368,1.083003751,5.122328,1.764772389,0.9682682,0.234301784,1.7663696,0.41880588
trout,0.6150476,0.292789272,2.5919305,,1.3414259,0.731446577,2.0235862,0.823729234,1.9295729,0.521565847,1.9514743,0.466576065
503,1.9759902,0.321353412,7.6377597,3.453989753,4.1529787,2.125017659,8.5131284,2.804368188,1.4167715,0.423017059,2.0300039,0.54695164
227,0.4480514,0.015820986,1.267227,0.544145475,0.829389,0.217234155,1.8263236,0.525829507,0.4575633,0.195011307,1.7033614,0.38206892
505,0.4596561,-0.070058192,1.1772946,0.517126446,0.7174524,0.322894408,2.6352764,0.34885204,0.3982672,0.193960494,1.5211268,0.406189269
284,1.21866,0.319724217,4.3585877,1.705883342,2.1537728,1.035389892,4.621836,1.647499797,1.6315756,0.436588906,1.8198984,0.407361309
314,1.366765,0.29576702,4.583598,1.894040711,2.1259428,1.03207836,5.7300236,1.621817581,1.1055541,0.372531335,1.8070678,0.335338467
273,0.3011279,0.101684055,1.019003,0.177276434,0.4069724,0.077235902,2.1697212,0.549312526,0.8849389,0.281126007,0.8345597,0.208913068
duck,0.4917193,-0.020513072,1.7496635,0.737101126,1.0283501,0.411744426,4.1769481,0.776095698,1.2188758,0.376339092,1.6794882,0.484580821
223,0.5367996,0.084287081,1.3556583,0.510840489,0.7132081,0.046516113,3.1583322,0.736268987,0.4390728,0.208669321,2.0233834,0.402294325
bob,0.7539484,0.148090214,2.9400051,1.417452945,1.7537955,0.630408802,5.362848,1.273478,1.8096301,0.570500267,1.6539026,0.392912713
204,0.511858,0.14893155,1.8998794,0.858406494,0.90873,0.164926695,4.3947709,0.968085458,0.6048664,0.202046686,1.2462358,0.299192421
291,0.7503853,0.034443274,3.3685763,1.672326429,1.7756531,0.587260836,3.5748581,1.289595881,1.2917311,0.44635829,0.9024853,0.269693384
220,0.54618,0.024386364,1.7110078,0.558318262,0.853087,0.32807139,1.9541526,0.688809327,0.4576739,0.069915235,1.1864944,0.229852703
267,0.2547887,-0.073247609,0.9520302,0.316677992,0.4740663,-0.002880786,2.179456,0.559194057,1.0933922,0.406373535,0.804138,0.031773161
243,0.2643443,0.007074532,0.9081974,0.110453262,1.8584413,0.587239585,1.6140442,0.187960191,0.8378465,0.124683752,0.7817416,0.083051996
276,0.304414,-0.00794378,0.9987834,0.191441386,0.4672711,0.115364892,2.056876,0.495725212,0.8767967,0.232395817,0.8887966,0.11188436
294,0.5621792,0.042562517,2.0135331,1.098558318,0.8306207,0.063145037,1.676184,0.806126528,0.7207417,0.249493109,1.3428538,0.128311622
501,1.959932,0.00968836,8.23219,4.042398213,3.9409522,2.026586043,7.738013,2.511527454,3.1947614,0.67912653,2.9982363,0.704951431
241,0.6606685,0.030447634,2.7108963,1.056841971,1.1836735,0.544434152,1.7901749,0.555791157,0.8310646,0.264624899,1.9210194,0.489459936
215,0.3432796,0.012431822,0.9461058,0.272317853,0.6145033,0.013274994,2.9300216,0.565713912,1.076388,0.339327262,0.8986276,0.207275414
500,0.5377248,-0.026977023,1.5468652,0.618609406,0.770253,0.222304703,1.7957072,0.429055245,0.2949332,0.161470064,0.7114002,0.218218358
285,0.4445015,-0.06222052,1.3741169,0.702623016,0.7428872,0.231977784,1.5366556,0.355270907,0.7601672,0.380041787,0.9784575,0.268187184
287,0.9661419,-0.146901683,4.379562,2.142755822,1.9870291,0.78039727,4.0918164,1.450066917,1.7266259,0.418810306,2.027439,0.262489956
269,0.4077306,0.033840628,1.463881,0.53436774,0.6806855,0.140553594,1.7747845,0.465434963,0.6680445,0.293641623,0.6363521,0.138551125
235,0.4777536,-0.007132813,1.751973,0.750188913,0.7921653,0.232579533,1.8543722,0.52807661,0.5498712,0.136104304,2.0074402,0.400139364
239,0.2789938,0.031173773,0.8376558,0.237494523,0.5776511,0.035444099,0.9382378,0.261023916,0.6145295,0.196623065,0.5320721,0.162260935
260,0.6776475,0.00968491,2.0890145,0.931619007,0.9862944,0.378785054,2.4214269,0.66887041,0.6694226,0.265077716,1.6264103,0.270237142
296,2.1941854,0.253890824,5.1964602,2.339072553,3.2822593,1.301855998,5.6216302,1.699983657,1.2373069,0.403994781,2.9959937,0.518183946
255,0.2258123,0.047494762,0.7572725,0.088108893,0.4065589,0.088602835,0.2875274,0.162548083,0.9591787,0.238896496,0.6695804,0.175369028
south nest,0.4659893,0.026617441,1.3747837,0.642419576,0.9577334,0.3960262,2.5124949,0.472400641,1.3488957,0.548984064,1.4510794,0.246753261
mantee,0.3824092,0.273713506,1.1549942,0.126970271,0.7180343,0.184435912,1.5865267,0.502798063,0.9951264,0.316439546,0.8896838,0.157727494
502,0.4204221,0.089080388,1.7830703,0.710706066,0.8657354,0.303492995,1.9292252,0.543406824,0.7295676,0.243335024,0.5158254,0.226467322
305,0.22896,-0.021283337,0.6172264,0.182242858,0.4302643,0.049550791,1.4040747,0.296957916,1.0140029,0.291342577,0.7782863,0.260715489
225,0.3392591,-0.137949167,0.9688162,0.397649529,0.6200255,0.115246731,1.6349384,0.338349894,1.0079721,0.31321084,1.8817706,0.531720682
226,0.2120542,-0.057137774,0.764144,0.18977905,0.4414438,0.111528796,1.2748406,0.219855196,0.8944203,0.262263406,0.7893876,0.255332143
216,0.2960546,0.036407374,0.7995865,0.251399536,0.6290084,0.048684327,1.5414622,0.375448883,0.8497948,0.215316942,1.506787,0.466411505
237,0.4642929,0.11200353,1.2380663,0.464953832,0.7652974,0.197223416,1.4497792,0.327057984,0.6625097,0.213373546,1.7128319,0.409422766
248,0.351803,-0.028581212,1.0029338,0.313519052,0.668352,0.149840785,1.6828274,0.432205734,0.8619761,0.234124419,1.5607378,0.335008454
Cpt,0.3525924,0.005716811,1.8065457,0.676656316,1.0224522,0.269339131,1.8208829,0.467059686,1.0573298,0.320108965,1.4642248,0.479045517
Sdk,0.7573047,-0.039166695,3.6218279,1.668148168,2.2718571,0.767899887,2.9570957,0.90534254,1.7007035,0.521211843,3.4622241,0.663821409
FNB 03,0.757279,-0.066548867,3.9478985,1.822388235,3.1801099,1.065684361,4.3424889,1.178412591,2.8708134,0.711869678,7.2197384,1.140510379
BWK 02,0.2392865,-0.001428262,1.824695,0.719917239,1.2844685,0.371678098,2.1175031,0.526985029,1.2794527,0.44817324,3.2460867,0.552321735
NWB,0.7272263,0.05153811,4.7549475,2.162779476,3.7823011,1.3271911,4.8170449,1.350817262,3.073839,0.891541755,8.1632653,1.141247224
RH01,0.4070674,0.046048213,3.2483008,1.533417099,2.0075047,0.797910224,2.3203666,0.689268958,1.2992245,0.405663279,3.6521388,0.610060047
mB04,0.4060977,-0.076752753,2.0300032,0.882976377,1.9757343,0.719394142,2.9898741,0.671764621,2.2709419,0.644374067,4.7782301,0.839973727
NK02,0.3107104,-0.272871719,1.1124845,0.67945958,0.898948,0.186130948,1.431279,0.485318982,1.0088862,0.455152561,1.9329897,0.251997612
NK02 9/28 Ref,0.4336088,0.311081853,2.4229808,1.131180331,1.9099948,0.723306153,2.410949,0.682979535,1.9572954,0.488119349,4.1835104,0.723853782
FNK01,0.4659358,0.147571627,2.2194089,0.71955901,1.5129212,0.596354728,1.9793279,0.714911333,1.5987313,0.456591635,2.6972295,0.436687754
LM01,0.4230374,0.082320211,1.9118945,0.77931647,1.2520737,0.337623234,1.4670706,0.424836214,0.9808379,0.449175108,2.3068914,0.521559558
CD,1.769649,-1.001079743,8.0678105,3.598663258,5.6113808,1.984708729,6.0036386,2.02741674,2.5446953,0.719470023,8.3471602,1.041253952
BLS,0.5605777,0.347751577,1.7849794,0.334636911,0.9879428,0.424241912,1.128105,0.173954449,0.7822903,0.38739825,1.7243304,0.541109022
PLK 01,0.6380555,0.937190108,2.7279364,1.209784985,1.9803164,0.70872662,2.5766671,0.696167278,1.8124474,0.458602762,3.7085368,0.594941832
LK,0.5311281,-0.786601233,2.0600273,0.922699092,1.7650812,0.609159257,2.5867094,0.650125145,1.9280012,0.533977527,4.2631857,0.776675658
TB01,0.8625181,0.115342397,3.5472675,1.588750172,2.6071451,0.936349826,3.0473033,0.945204669,2.0969769,0.560128736,4.6146716,0.824740841
RKB,0.5924497,0.042785289,1.9112272,0.950510603,1.2967991,0.389666223,1.653615,0.316658266,0.8768345,0.348282719,1.7141792,0.298890118
LBC5,0.4916188,-0.348187318,1.922961,1.004297345,1.445663,0.57852644,1.7068337,0.530035042,1.2242226,0.396953614,2.8244477,0.458140956
JMK 0,0.93745,0.037509519,3.5103559,1.39959348,3.1821928,1.075760632,4.1855985,1.109348942,3.2655793,0.787270565,7.2563707,1.132667258
BLB 01,0.5538539,0.109566329,2.2827563,0.936874671,2.0264356,0.701025871,2.7600467,0.797907747,2.051901,0.568749761,4.4580338,0.684305937
CLK,0.7267864,0.001124137,2.1740743,1.286151524,2.3877098,0.899339872,3.3488254,0.976595703,1.957672,0.557226747,4.4018506,0.784285152
JK1,1.607619,0.162020168,6.7123501,2.886432659,4.5316967,1.538944884,5.2898293,1.783564667,2.0807718,0.582532111,6.5660799,0.869982438
PL,0.611924,0.027860685,2.5389478,1.071855784,1.6818751,0.543141239,2.1279707,0.598379524,1.233041,0.350167144,2.5230908,0.53996208
Spk Spy,0.626598,0.072886635,2.5398443,1.123115511,1.6728555,0.442625483,2.1218632,0.562463197,1.2703032,0.410347564,2.5092571,0.533046755
RBK,0.7971772,0.087989822,3.7315081,1.704220928,2.487654,0.857581522,2.8185108,0.948061189,1.7305801,0.40010735,3.8001581,0.636160971
RSK0,0.4943453,0.02442025,1.7131775,0.49372597,1.206459,0.361661699,1.4587865,0.357360006,1.0082108,0.430286378,1.8438303,0.410299253
UPW,0.4999615,0.161670532,1.7815192,0.515299338,1.1244077,0.366732267,1.5613474,0.402742443,1.0293748,0.270366434,1.5228855,0.519414045
B45,0.3487706,0.21665692,1.0922513,0.120369824,0.791422,0.241543087,1.1793002,0.324969352,0.7611549,0.280059598,1.1847151,0.199822314
Ctf607,0.9767522,0.060902229,4.080326,1.763167865,3.3824699,1.026849526,4.47266,1.34846849,2.712866,0.793447664,6.7672184,0.945439456
EgK,0.3600913,-0.046438244,1.3120567,0.372208614,1.0640706,0.324311421,1.752525,0.401894674,1.1419942,0.381095437,2.1947289,0.431602029
RNK02,1.1425135,0.24198277,4.9374479,2.015119757,3.5113516,1.30810552,4.5921822,1.477920229,2.6653696,0.75083161,6.5256526,0.955554988
SNB,0.7942097,0.037891018,3.0667564,1.136677764,2.6769975,0.891665836,3.8207946,1.11433155,2.7022261,0.753023511,6.0571277,0.99472999
DCK161,0.4674039,0.114742029,1.6212551,0.555517598,1.1602976,0.344317697,1.7516281,0.44911773,1.1800957,0.430064247,2.2310705,0.425771324
CRK,0.605402,0.07829021,2.0835292,0.74095134,1.2204154,0.449150367,1.8525792,0.487434882,1.2977891,0.335765459,2.2443974,0.421948808
MK04,0.4866539,0.254958862,1.9641969,0.691029439,1.6899826,0.4810761,3.1935501,0.895426628,2.1277751,0.598004102,4.2260416,0.71028924
SWK,0.6292826,0.121181542,2.9602308,1.165111924,2.006771,0.720937116,2.8105762,0.859487933,1.4692091,0.466594367,3.3258731,0.55168336
TL0,0.4524388,-0.115666476,1.9002375,0.876000821,1.2962486,0.274551542,2.1846145,0.706343228,1.1196704,0.339003932,1.5330047,0.333633987
BB00,0.4927275,0.264226797,1.445391,0.252723301,1.0740559,0.372323348,1.8081643,0.326551229,1.3011629,0.513880178,1.1950469,0.362581557
DKB02,1.0150921,0.299360768,4.3323864,1.568981194,3.0885144,1.161293177,3.9605735,1.17562904,1.9306467,0.629808366,5.02693,0.728833277
LG,0.4668488,0.083345212,1.9960881,0.619499037,1.2020223,0.467602735,1.6659615,0.415724087,0.9293279,0.343762307,1.6401509,0.42627288
WB,0.6824119,0.283566065,4.1934265,1.536486661,4.0648563,1.330859586,4.0121852,1.170821081,2.4414977,0.699184206,6.6072812,1.135586155
LBts,1.0841424,-0.562107714,7.5151214,3.687305018,,,,,,,,
TWN,0.5968868,0.194081056,2.6707168,1.035562433,1.4078759,0.441822485,2.0771264,0.541612325,1.4006809,0.584597431,1.6906318,0.419587557
UPE0,0.633526,0.341402024,2.8645101,1.041871903,1.7263178,0.588215187,2.4638404,0.779009639,1.1458226,0.291318076,2.8307692,0.540000789
Dck03,0.3515801,-0.018773329,1.0814551,0.350998608,0.7320938,0.087686431,1.2312873,0.483466206,0.8705339,0.478416464,1.2845644,0.474443322
SC01,0.5116886,0.477880904,1.9872935,0.602726465,1.140227,0.254017765,1.8366257,0.571085166,0.8198065,0.351575452,1.3538055,0.224329359
CN,0.3896875,-0.04512953,1.4039368,0.483364234,0.8027915,0.256830111,1.219482,0.351306899,0.6385664,0.381722856,0.8834954,0.261165468
